Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-14.854089,19.443010,-14.797638,-0.425254,0.128083,0.605015,-1.222696,-0.176173,0.670076,-69.206633,32.306504,47.571891,-1.420253,147.858367,-138.333697,-39.853075,-29.177637,62.128456,-44.705285,-25.703106,59.788629,-2.882756,-17.502725,32.863425,19.241479,-3.930459,30.442340,1.995397,-34.232960,-10.245427,5.065613,-17.447995,-10.376390,-0.714153,-37.681575,8.789163,-7.657994,4.085714,9.296342,7.092748,-13.009085,2.558114,4.570979,-55.442468,2.020323,-1.968240,-56.642725,-2.220289,-1.492102,-45.328717,-2.585934,1.823168,-29.576643,-2.515096,2.360726,-16.886618,-2.319415,4.188049,-65.896368,-9.885483,3.193681,-55.747515,-5.529169,-1.465126,-96.009414,-0.480213,-0.636161,-46.850204,-1.332218,-8.428300,-70.415546,-7.010965,-2.533297,-24.528760,-6.904046,-3.346314,-82.858442,-13.882873,2.521671,-54.798966,-12.504292,-4.952073,-84.743120,-1.963208,-3.350294,-52.648725,-3.615609,-4.499329,-68.836426,-1.134354,-3.832320,-34.183972,-1.009135,15.315444,-5.567037,-24.893151,15.315444,-5.567045,-24.893162,7.686068,-86.201232,1.980314,5.551008,-38.325749,6.940388,-5.444849,-78.149388,-8.207045,-1.444296,-51.520093,-8.602718,-3.802602,-65.432890,2.780224,-5.154879,-31.336704,1.640886,3
-14.850186,19.445508,-14.795613,-0.581307,2.001923,1.064883,-1.259756,1.567538,0.712744,-69.180393,32.362295,47.517265,-1.431129,147.850315,-138.314009,-39.853724,-29.177175,62.128159,-44.672827,-25.729892,59.807467,-2.875834,-17.497967,32.862151,19.249741,-3.920941,30.458125,2.001809,-34.197464,-10.246651,5.065551,-17.448303,-10.376404,-0.718954,-37.650643,8.791409,-7.658730,4.090295,9.296112,7.068298,-13.020180,2.561523,4.565451,-55.447915,2.027479,-1.966416,-56.595344,-2.222000,-1.492567,-45.339089,-2.585636,1.823886,-29.560629,-2.514945,2.360185,-16.899625,-2.319669,4.190745,-65.872229,-9.880985,3.186647,-55.762675,-5.522548,-1.465112,-96.007316,-0.480265,-0.635961,-46.841190,-1.332294,-8.429486,-70.425254,-7.010489,-2.532822,-24.524910,-6.903838,-3.335091,-82.814914,-13.888520,2.513139,-54.819357,-12.500072,-4.952890,-84.767246,-1.961660,-3.349996,-52.644134,-3.615780,-4.499625,-68.850978,-1.134318,-3.832299,-34.182398,-1.009107,15.315437,-5.567043,-24.893161,15.315444,-5.567050,-24.893154,7.685203,-86.162157,1.981706,5.552287,-38.330273,6.939158,-5.446832,-78.163225,-8.206362,-1.446946,-51.537636,-8.603076,-3.803221,-65.419952,2.779956,-5.155102,-31.328609,1.640520,3
-14.845341,19.444999,-14.798348,0.561871,1.804161,1.832837,-0.085089,1.872136,2.198020,-69.144337,32.399280,47.491740,-1.455435,147.850548,-138.289614,-39.855178,-29.176425,62.127689,-44.640776,-25.755832,59.825703,-2.868848,-17.493408,32.860591,19.256746,-3.912413,30.473657,2.008671,-34.159577,-10.247957,5.065479,-17.448784,-10.376408,-0.724252,-37.616295,8.793893,-7.659868,4.097270,9.295774,7.045181,-13.031763,2.564657,4.559679,-55.452788,2.034943,-1.964356,-56.542606,-2.223930,-1.493031,-45.349456,-2.585341,1.824714,-29.541564,-2.514723,2.359670,-16.912326,-2.319928,4.193400,-65.849301,-9.876902,3.179010,-55.778526,-5.515258,-1.465065,-96.002374,-0.480391,-0.635714,-46.830812,-1.332395,-8.430623,-70.434721,-7.010005,-2.532263,-24.520264,-6.903585,-3.324003,-82.772041,-13.894195,2.503900,-54.840314,-12.495144,-4.953662,-84.789833,-1.960218,-3.349638,-52.638428,-3.615994,-4.499908,-68.865958,-1.134280,-3.832260,-34.180471,-1.009086,15.315442,-5.567044,-24.893160,15.315432,-5.567039,-24.893163,7.684310,-86.122661,1.983318,5.553138,-38.335775,6.938234,-5.448608,-78.175536,-8.205757,-1.449606,-51.555216,-8.603433,-3.803743,-65.409172,2.779727,-5.155340,-31.320520,1.640158,3
-14.836310,19.451389,-14.815415,-3.212469,-0.383293,1.745914,-4.611366,-1.373004,4.389603,-69.062400,32.405658,47.488575,-1.469218,147.917117,-138.203200,-39.834772,-29.189105,62.135787,-44.592158,-25.795028,59.853232,-2.866157,-17.493831,32.868834,19.253191,-3.908051,30.495665,2.023786,-34.075899,-10.250820,5.062832,-17.463242,-10.376693,-0.736321,-37.538328,8.799498,-7.662823,4.115522,9.294871,7.005295,-13.078935,2.567851,4.548296,-55.458160,2.049678,-1.960103,-56.432995,-2.227900,-1.495274,-45.399158,-2.583955,1.827485,-29.478385,-2.514045,2.358354,-16.944834,-2.320576,4.196296,-65.810457,-9.866856,3.162393,-55.820131,-5.500617,-1.465006,-95.995020,-0.480558,-0.635796,-46.834666,-1.332371,-8.432820,-70.452709,-7.009123,-2.532080,-24.518771,-6.903488,-3.303788,-82.692016,-13.901978,2.485160,-54.886009,-12.486094,-4.955162,-84.833704,-1.957407,-3.348503,-52.620401,-3.616630,-4.500356,-68.888565,-1.134228,-3.831987,-34.165401,-1.008952,15.315444,-5.567040,-24.893151,15.315443,-5.567045,-24.893153,7.682195,-86.042391,1.990311,5.557872,-38.331925,6.934748,-5.452540,-78.203066,-8.204384,-1.453829,-51.583094,-8.603985,-3.804914,-65.385015,2.779237,-5.156113,-31.293619,1.638975,3
-14.833415,19.449581,-14.829131,-2.722715,-0.560589,-0.538090,-3.175272,-0.277989,1.606034,-69.038063,32.371935,47.525243,-1.478148,147.991939,-138.138837,-39.823563,-29.196204,62.140324,-44.568937,-25.813974,59.866530,-2.865437,-17.494535,32.873453,19.249849,-3.907018,30.505937,2.031737,-34.031855,-10.252311,5.061333,-17.471416,-10.376828,-0.742826,-37.496345,8.802500,-7.664626,4.126615,9.294329,6.986640,-13.104325,2.569097,4.542450,-55.460185,2.057259,-1.957813,-56.374092,-2.230023,-1.496480,-45.425730,-2.583209,1.829024,-29.443133,-2.513675,2.357702,-16.961315,-2.320906,4.197571,-65.792294,-9.862013,3.153593,-55.842040,-5.492809,-1.464943,-95.989466,-0.480686,-0.635862,-46.837107,-1.332339,-8.433881,-70.461449,-7.008678,-2.531978,-24.517924,-6.903460,-3.293885,-82.652773,-13.905692,2.475265,-54.909513,-12.481110,-4.955868,-84.854510,-1.956071,-3.347856,-52.610184,-3.616989,-4.500577,-68.899743,-1.134209,-3.831857,-34.156920,-1.008881,15.315448,-5.567047,-24.893151,15.315447,-5.567041,-24.893153,7.681107,-86.001844,1.994183,5.560098,-38.329828,6.933124,-5.454392,-78.215961,-8.203732,-1.455867,-51.596653,-8.604270,-3.805439,-65.374269,2.779026,-5.156517,-31.279492,1.638350,3
-14.824165,19.440491,-14.843500,0.191532,1.433149,-3.923543,-1.216189,2.816607,-1.736561,-69.043927,32.381105,47.516721,-1.424416,147.989723,-138.148718,-39.810980,-29.204064,62.145342,-44.541112,-25.836138,59.882079,-2.860201,-17.492296,32.877993,19.245257,-3.906284,30.518365,2.038305,-33.995592,-10.253554,5.060185,-17.477727,-10.376946,-0.750295,-37.448049,8.805978,-7.666171,4.136189,9.293836,6.966588,-13.132016,2.570408,4.539017,-55.447246,2.061726,-1.955840,-56.323373,-2.231861,-1.496850,-45.434124,-2.582979,1.830401,-29.411888,-2.513328,2.357352,-16.969737,-2.321063,4.200109,-65.769846,-9.857899,3.148428,-55.848003,-5.487001,-1.464879,-95.981870,-0.480868,-0.636064,-46.845781,-1.332257,-8.434917,-70.469995,-7.008248,-2.531867,-24.517075,-6.903398,-3.283875,-82.612172,-13.908206,2.470169,-54.914889,-12.476466,-4.956466,-84.872059,-1.954938,-3.348090,-52.613944,-3.616869,-4.500829,-68.912047,-1.134183,-3.831784,-34.153195,-1.008831,15.315438,-5.567039,-24.893152,15.315436,-5.567042,-24.893156,7.680149,-85.958915,1.995955,5.558671,-38.299636,6.935775,-5.455406,-78.222895,-8.203399,-1.458901,-51.616682,-8.604677,-3.805909,-65.364490,2.778808,-5.156738,-31.271224,1.637990,3
-14.809028,19.444033,-14.856780,-0.608525,0.976286,-4.045493,-2.753427,0.474373,-2.163822,-69.064205,32.358536,47.534427,-1.186855,147.998847,-138.159920,-39.787601,-29.219016,62.154899,-44.521912,-25.852242,59.893373,-2.854623,-17.491308,32.887089,19.237621,-3.908418,30.526289,2.044237,-33.962747,-10.254662,5.059392,-17.482198,-10.377048,-0.758463,-37.395357,8.809755,-7.666875,4.140402,9.293645,6.945313,-13.167658,2.571311,4.535313,-55.420144,2.066555,-1.953605,-56.265855,-2.233942,-1.497248,-45.442840,-2.582726,1.832273,-29.369344,-2.512881,2.356749,-16.984876,-2.321379,4.200670,-65.751727,-9.851729,3.147036,-55.836381,-5.483099,-1.464811,-95.972088,-0.481099,-0.636432,-46.861781,-1.332120,-8.435935,-70.478341,-7.007853,-2.532526,-24.522481,-6.903691,-3.275377,-82.577099,-13.909561,2.472889,-54.896061,-12.474044,-4.956982,-84.887070,-1.953970,-3.348219,-52.615871,-3.616789,-4.501015,-68.921895,-1.134151,-3.831617,-34.143755,-1.008749,15.315442,-5.567047,-24.893160,15.315442,-5.567047,-24.893158,7.679554,-85.920859,1.994662,5.556019,-38.242723,6.940731,-5.456010,-78.227138,-8.203193,-1.460274,-51.625779,-8.604858,-3.806446,-65.353177,2.778572,-5.157189,-31.255605,1.637303,3
-14.798898,19.439870,-14.875342,0.059212,2.360474,-3.349634,-1.508875,3.004984,-0.476225,-69.080326,32.326831,47.587130,-0.829320,148.039328,-138.163578,-39.761560,-29.234932,62.165043,-44.504592,-25.865858,59.902921,-2.849523,-17.490591,32.897370,19.227622,-3.912404,30.533244,2.050175,-33.929902,-10.255758,5.058555,-17.486793,-10.377140,-0.767104,-37.339584,8.813728,-7.667588,4.144857,9.293427,6.924665,-13.205817,2.571927,4.531707,-55.389007,2.071262,-1.951246,-56.205577,-2.236109,-1.497614,-45.450943,-2.582497,1.834294,-29.323189,-2.512370,2.356122,-17.000339,-2.321674,4.200926,-65.734777,-9.845449,3.146278,-55.821185,-5.479400,-1.464724,-95.960527,-0.481373,-0.636855,-46.879825,-1.331943,-8.436902,-70.486313,-7.007448,-2.533295,-24.528757,-6.904047,-3.267288,-82.543397,-13.910494,2.476960,-54.872098,-12.471716,-4.957454,-84.900567,-1.953105,-3.348351,-52.618119,-3.616717,-4.501205,-68.931322,-1.134137,-3.831439,-34.133291,-1.008648,15.315441,-5.567047,-24.893151,15.315441,-5.567045,-24.893159,7.678998,-85.883220,1.992932,5.552739,-38.178928,6.946537,-5.456391,-78.229822,-8.203061,-1.461441,-51.633473,-8.605003,-3.806967,-65.342643,2.778363,-5.157657,-31.239038,1.636551,3
-14.772940,19.444894,-14.897818,3.964717,2.150472,0.364985,0.161751,1.414338,3.657828,-69.058579,32.260186,47.657420,-0.434845,148.066324,-138.133886,-39.733012,-29.252708,62.176380,-44.488823,-25.878409,59.911714,-2.844221,-17.489914,32.908579,19.215986,-3.917513,30.539279,2.056135,-33.896963,-10.256860,5.057675,-17.491518,-10.377224,-0.776264,-37.280658,8.817940,-7.668346,4.149589,9.293194,6.904553,-13.246515,2.572269,4.528182,-55.353864,2.075855,-1.948788,-56.142496,-2.238391,-1.497948,-45.458466,-2.582284,1.836471,-29.273371,-2.511831,2.355476,-17.016208,-2.322002,4.200891,-65.718918,-9.839081,3.146112,-55.802447,-5.475882,-1.464594,-95.947246,-0.481677,-0.637325,-46.899881,-1.331773,-8.437551,-70.491670,-7.007179,-2.534166,-24.535973,-6.904430,-3.259575,-82.510951,-13.911055,2.482365,-54.843106,-12.469479,-4.957843,-84.912600,-1.952335,-3.348512,-52.620664,-3.616623,-4.501389,-68.940406,-1.134106,-3.831241,-34.121835,-1.008542,15.315446,-5.567037,-24.893170,15.315447,-5.567037,-24.893156,7.678528,-85.845932,1.990751,5.548821,-38.108280,6.953180,-5.456545,-78.230928,-8.202997,-1.462407,-51.639869,-8.605143,-3.807444,-65.332849,2.778169,-5.158169,-31.221465,1.635773,3
-14.768698,19.433263,-14.903117,0.577429,1.701427,1.399452,-0.050103,3.421895,2.183212,-69.022986,32.271152,47.647782,-0.358046,148.088824,-138.146413,-39.716648,-29.263141,62.183037,-44.469726,-25.894368,59.922901,-2.834120,-17.485256,32.914130,19.209624,-3.918941,30.547292,2.062047,-33.864170,-10.257971,5.057500,-17.492459,-10.377237,-0.784157,-37.229611,8.821558,-7.668537,4.150732,9.293133,6.886061,-13.282409,2.572728,4.525645,-55.323250,2.079168,-1.946943,-56.095456,-2.240072,-1.498926,-45.480064,-2.581677,1.838235,-29.233288,-2.511399,2.354543,-17.039349,-2.322458,4.201227,-65.699696,-9.832026,3.147637,-55.775248,-5.473105,-1.464487,-95.934117,-0.481988,-0.637946,-46.926494,-1.331516,-8.438041,-70.495646,-7.006993,-2.535179,-24.544333,-6.904893,-3.251734,-82.477769,-13.911211,2.491713,-54.797132,-12.466905,-4.958233,-84.924323,-1.951582,-3.349049,-52.629134,-3.616321,-4.501523,-68.947259,-1.134084,-3.830993,-34.107885,-1.008412,15.315444,-5.567038,-24.893161,15.315444,-5.567040,-24.893156,7.677938,-85.808645,1.989645,5.500791,-37.677336,7.011924,-5.457110,-78.234801,-8.202819,-1.462610,-51.641238,-8.605159,-3.807782,-65.325657,2.778009,-5.158947,-31.193856,1.634559,3
